HARGA,LT,LB,JKT,JKM,KOTA
19000000000,435,650,4,4,JAKSEL
7000000000,384,400,4,4,JAKSEL
27500000000,1068,300,5,3,JAKSEL
17000000000,465,640,3,4,JAKSEL
10000000000,475,600,5,5,JAKSEL
6800000000,210,275,3,2,JAKSEL
21000000000,754,500,4,4,JAKSEL
25000000000,1340,600,8,5,JAKSEL
16000000000,521,471,5,5,JAKSEL
6000000000,329,500,5,3,JAKSEL
21000000000,1018,600,4,4,JAKSEL
33000000000,1100,450,4,4,JAKSEL
2790000000,180,250,3,3,JAKSEL
8500000000,307,400,7,6,JAKSEL
1930000000,111,135,3,3,JAKSEL
14000000000,410,800,4,4,JAKSEL
12750000000,500,400,4,3,JAKSEL
5000000000,188,260,4,3,JAKSEL
25000000000,1040,600,4,3,JAKSEL
25000000000,1000,600,9,5,JAKSEL
85500000000,1500,1300,5,5,JAKSEL
5400000000,165,297,3,3,JAKSEL
14000000000,380,350,6,4,JAKSEL
5600000000,151,254,4,3,JAKSEL
38000000000,1390,750,6,4,JAKSEL
30000000000,557,400,4,3,JAKSEL
17500000000,518,450,5,7,JAKSEL
39500000000,1960,900,5,4,JAKSEL
15000000000,395,460,4,4,JAKSEL
13000000000,235,623,5,5,JAKSEL
8500000000,434,380,5,2,JAKSEL
45000000000,836,600,4,4,JAKSEL
10000000000,230,350,3,2,JAKSEL
20000000000,425,500,5,4,JAKSEL
5800000000,144,285,4,3,JAKSEL
20900000000,754,500,4,4,JAKSEL
24000000000,832,650,4,1,JAKSEL
23000000000,800,400,4,4,JAKSEL
9000000000,256,245,4,4,JAKSEL
1350000000,72,150,3,3,JAKSEL
23000000000,800,500,5,4,JAKSEL
14000000000,464,350,4,3,JAKSEL
15000000000,733,140,2,2,JAKSEL
6500000000,500,400,17,18,JAKSEL
6800000000,376,352,5,5,JAKSEL
10500000000,320,360,6,4,JAKSEL
20000000000,442,600,3,4,JAKSEL
16000000000,895,420,5,4,JAKSEL
15000000000,400,500,4,4,JAKSEL
9000000000,240,380,3,3,JAKSEL
33000000000,1750,700,6,6,JAKSEL
6200000000,450,550,4,4,JAKSEL
40000000000,600,500,8,5,JAKSEL
14500000000,240,450,4,4,JAKSEL
25000000000,900,600,4,3,JAKSEL
6200000000,376,352,4,2,JAKSEL
38000000000,2880,1000,7,6,JAKSEL
9000000000,350,650,4,3,JAKSEL
7000000000,251,325,3,3,JAKSEL
9900000000,452,200,3,2,JAKSEL
15000000000,291,400,4,4,JAKSEL
16000000000,445,1200,6,6,JAKSEL
9000000000,300,300,4,3,JAKSEL
25000000000,700,500,4,4,JAKSEL
10000000000,468,410,4,3,JAKSEL
9500000000,350,430,4,4,JAKSEL
30000000000,778,320,3,2,JAKSEL
15000000000,923,900,5,4,JAKSEL
20000000000,1050,650,4,4,JAKSEL
15000000000,530,633,4,3,JAKSEL
5900000000,188,314,4,4,JAKSEL
185000000000,6790,10000,5,5,JAKSEL
17800000000,430,500,4,4,JAKSEL
11500000000,375,400,5,4,JAKSEL
12000000000,340,600,11,11,JAKSEL
50000000000,325,500,3,3,JAKSEL
7900000000,266,475,4,4,JAKSEL
7000000000,250,280,3,3,JAKSEL
7000000000,230,400,4,4,JAKSEL
20000000000,600,890,6,6,JAKSEL
11000000000,575,210,4,3,JAKSEL
22000000000,1860,400,4,4,JAKSEL
20000000000,610,1000,6,6,JAKSEL
16000000000,835,600,5,5,JAKSEL
8750000000,158,400,3,3,JAKSEL
39000000000,1900,1000,6,5,JAKSEL
10500000000,424,313,7,4,JAKSEL
14000000000,651,350,5,3,JAKSEL
11000000000,400,225,4,3,JAKSEL
24000000000,354,350,3,3,JAKSEL
14500000000,600,500,5,4,JAKSEL
8500000000,200,400,4,4,JAKSEL
9900000000,611,500,7,4,JAKSEL
21000000000,557,882,5,4,JAKSEL
6000000000,144,250,4,3,JAKSEL
14000000000,661,800,4,4,JAKSEL
12900000000,539,610,4,4,JAKSEL
17640000000,503,541,4,3,JAKSEL
12000000000,600,500,4,4,JAKSEL
10000000000,237,250,4,3,JAKSEL
3790000000,248,248,4,2,JAKSEL
9000000000,600,400,4,3,JAKSEL
250000000000,6000,1500,5,5,JAKSEL
9500000000,274,258,3,3,JAKSEL
17500000000,518,450,5,7,JAKSEL
8250000000,159,278,3,3,JAKSEL
4300000000,123,190,3,3,JAKSEL
4300000000,152,230,4,2,JAKSEL
5620000000,122,311,3,3,JAKSEL
3250000000,240,200,3,3,JAKSEL
6500000000,144,285,4,3,JAKSEL
25000000000,1020,800,5,3,JAKSEL
23000000000,752,400,4,3,JAKSEL
17700000000,860,750,5,4,JAKSEL
7700000000,190,300,3,2,JAKSEL
16000000000,465,640,4,4,JAKSEL
6000000000,200,272,4,4,JAKSEL
15000000000,500,765,4,4,JAKSEL
25000000000,685,450,4,4,JAKSEL
20000000000,910,450,5,4,JAKSEL
15000000000,580,220,4,3,JAKSEL
8500000000,246,221,3,3,JAKSEL
4000000000,125,125,3,3,JAKSEL
11500000000,400,300,3,3,JAKSEL
27500000000,1010,605,6,6,JAKSEL
6000000000,182,500,4,3,JAKSEL
17500000000,477,550,4,4,JAKSEL
17000000000,300,475,5,4,JAKSEL
7500000000,259,410,4,3,JAKSEL
28000000000,572,450,8,7,JAKSEL
7000000000,349,349,9,5,JAKSEL
9000000000,200,480,4,3,JAKSEL
39000000000,973,1100,4,4,JAKSEL
42000000000,2131,1600,5,5,JAKSEL
4000000000,219,103,4,2,JAKSEL
9000000000,490,350,4,3,JAKSEL
25000000000,1000,800,4,3,JAKSEL
3800000000,153,180,4,3,JAKSEL
15000000000,506,400,3,3,JAKSEL
17000000000,465,640,4,4,JAKSEL
7300000000,278,350,4,4,JAKSEL
8500000000,250,400,4,4,JAKSEL
55000000000,2641,1000,4,3,JAKSEL
17000000000,851,450,4,3,JAKSEL
17000000000,392,327,4,4,JAKSEL
10000000000,402,236,3,3,JAKSEL
12000000000,254,370,4,4,JAKSEL
10500000000,380,300,3,3,JAKSEL
17500000000,417,560,4,4,JAKSEL
